Classifier,Precision,Recall
Logistic Regression,0.3141,0.5649
Logistic Regression,0.3152,0.5649
Logistic Regression,0.3127,0.5584
Logistic Regression,0.3139,0.5584
Logistic Regression,0.3114,0.5519
Logistic Regression,0.3088,0.5455
Logistic Regression,0.3063,0.539
Logistic Regression,0.3074,0.539
Logistic Regression,0.3086,0.539
Logistic Regression,0.3097,0.539
Logistic Regression,0.3071,0.5325
Logistic Regression,0.3083,0.5325
Logistic Regression,0.3094,0.5325
Logistic Regression,0.3106,0.5325
Logistic Regression,0.3118,0.5325
Logistic Regression,0.313,0.5325
Logistic Regression,0.3142,0.5325
Logistic Regression,0.3154,0.5325
Logistic Regression,0.3127,0.526
Logistic Regression,0.3101,0.5195
Logistic Regression,0.3113,0.5195
Logistic Regression,0.3125,0.5195
Logistic Regression,0.3137,0.5195
Logistic Regression,0.315,0.5195
Logistic Regression,0.3162,0.5195
Logistic Regression,0.3135,0.513
Logistic Regression,0.3147,0.513
Logistic Regression,0.316,0.513
Logistic Regression,0.3173,0.513
Logistic Regression,0.3185,0.513
Logistic Regression,0.3198,0.513
Logistic Regression,0.3171,0.5065
Logistic Regression,0.3184,0.5065
Logistic Regression,0.3197,0.5065
Logistic Regression,0.321,0.5065
Logistic Regression,0.3223,0.5065
Logistic Regression,0.3237,0.5065
Logistic Regression,0.325,0.5065
Logistic Regression,0.3264,0.5065
Logistic Regression,0.3277,0.5065
Logistic Regression,0.3291,0.5065
Logistic Regression,0.3305,0.5065
Logistic Regression,0.3319,0.5065
Logistic Regression,0.3333,0.5065
Logistic Regression,0.3348,0.5065
Logistic Regression,0.3362,0.5065
Logistic Regression,0.3377,0.5065
Logistic Regression,0.3391,0.5065
Logistic Regression,0.3362,0.5
Logistic Regression,0.3377,0.5
Logistic Regression,0.3392,0.5
Logistic Regression,0.3407,0.5
Logistic Regression,0.3422,0.5
Logistic Regression,0.3438,0.5
Logistic Regression,0.3408,0.4935
Logistic Regression,0.3423,0.4935
Logistic Regression,0.3394,0.487
Logistic Regression,0.3409,0.487
Logistic Regression,0.3425,0.487
Logistic Regression,0.344,0.487
Logistic Regression,0.341,0.4805
Logistic Regression,0.338,0.474
Logistic Regression,0.3349,0.4675
Logistic Regression,0.3364,0.4675
Logistic Regression,0.3333,0.461
Logistic Regression,0.3302,0.4545
Logistic Regression,0.3318,0.4545
Logistic Regression,0.3333,0.4545
Logistic Regression,0.3301,0.4481
Logistic Regression,0.3269,0.4416
Logistic Regression,0.3237,0.4351
Logistic Regression,0.3204,0.4286
Logistic Regression,0.322,0.4286
Logistic Regression,0.3235,0.4286
Logistic Regression,0.3251,0.4286
